"Status","Name","Duration in ms","Description"
"passed","browser.browser_test.test_MorePage.TestMorePage#test003MorePage","15174","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""搜狐""
        3、断言是否跳转到""搜狐""页面

        "
"passed","browser.browser_test.test_MorePage.TestMorePage#test012MorePage","7900","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""找房子""
        3、断言是否跳转到""找房子""页面

        "
"passed","browser.browser_test.test_MorePage.TestMorePage#test011MorePage","15091","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""同城""
        3、断言是否跳转到""同城""页面

        "
"failed","browser.browser_test.test_MorePage.TestMorePage#test008MorePage","15430","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""京东""
        3、断言是否跳转到""京东""页面

        "
"failed","browser.browser_test.test_MorePage.TestMorePage#test004MorePage","15911","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""漫画""
        3、断言是否跳转到""漫画""页面

        "
"failed","browser.browser_test.test_MorePage.TestMorePage#test010MorePage","16025","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""聚划算""
        3、断言是否跳转到""聚划算""页面

        "
"failed","browser.browser_test.test_MorePage.TestMorePage#test001MorePage","15114","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""头条""
        3、断言是否跳转到""头条""页面

        "
"failed","browser.browser_test.test_MorePage.TestMorePage#test002MorePage","15339","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""小视频""
        3、断言是否跳转到""小视频""页面

        "
"passed","browser.browser_test.test_MorePage.TestMorePage#test005MorePage","9338","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""小说""
        3、断言是否跳转到""小说""页面

        "
"passed","browser.browser_test.test_MorePage.TestMorePage#test007MorePage","3353","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""搞笑""
        3、断言是否跳转到""搞笑""页面

        "
"failed","browser.browser_test.test_MorePage.TestMorePage#test009MorePage","15403","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""中文""
        3、断言是否跳转到""中文""页面

        "
"passed","browser.browser_test.test_MorePage.TestMorePage#test006MorePage","9064","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""钱包""
        3、断言是否跳转到""钱包""页面

        "
