"Status","Name","Duration in ms","Description"
"passed","browser.browser_test.test_NegativeScreenPage.TestNegativePage#test010NegativeMultiSelect","35982","
        1、进入负一屏，添加""网易""书签
        2、长按“网易”书签，进入""多选""状态，获取屏幕顶部标题
        3、点击""全选""后，再获取屏幕顶部标题，断言""全选""前后，顶部标题不一样
        4、点击""取消""后，断言当前页面不存在""取消""元素
        "
"passed","browser.browser_test.test_WindowsTabPage.TestWindowsTabPage#test004LongPressCloseWindowsTab","12262","
        1、进入浏览器，点击导航网站-》更多
        2、点击多窗口按钮
        3、点击新建多窗口按钮，点击打开导航网站-》更多，重复新建3个多窗口
        4、点击多窗口中tab页进入网页浏览
        5、获取新建的多窗口数量
        6、长按并且上滑到 “X” 位置后放开，关闭当前窗口
        7、获取删除多窗口后的数量
        8、断言多窗口数量是否减少
        "
"passed","browser.browser_test.test_NegativeScreenPage.TestNegativePage#test005AddBookmark","55450","
        1、进入负一屏，删除""魅族社区""书签
        2、进入精选页，添加“魅族社区”书签，返回上一层到负一屏，断言负一屏是否存在“魅族社区”书签，点击进入“魅族社区”网站，断言页面是否存在'魅族社区'元素
        3、点击进入“网址导航”网站，断言页面是否存在'网址导航'元素
        "
"failed","browser.browser_test.test_SharePage.TestSharePage#test001ShareWebPage","14163","
        1、进入浏览器，点击导航网站-》安居客
        2、在安居客网页中点击底部-》工具栏图标按钮
        3、点击底部工具栏-》点击分享按钮
        4、点击分享面板-》便签按钮到便签
        5、断言便签应用中是否存在分享的内容
        "
"failed","browser.browser_test.test_HomePage.TestHomePage#test002HomePage","16120",""
"passed","browser.browser_test.test_CollectionAndHistory.TestNegativePage#test008DeleteHistoryOne","23746","
        1、进入首页，再进入历史
        2、长按1条记录，删除，断言被删除记录不存在
        "
"failed","browser.browser_test.test_DownLoadPage.TestDownPage#test004DownAppPage","6371","
        1、点击“搜索框”
        2、输入“QQ”，点击“搜索”按钮
        3、点击页面中的“高速下载”
        4、显示下载弹框
        5、在下载弹框中点击“下载”按钮
        6、点击底部工具栏菜单menu_more按钮，显示工具面板
        7、点击“下载管理”打开下载页面
        8、断言下载中的状态
        "
"passed","browser.browser_test.test_SearchPanelPage.TestSearchPanelPage#test001SearchPanelPage","9783","
        1、点击首页搜索框
        2、提取搜索框文本
        3、点击搜索按钮
        4、断言页面是否正常跳转到对应的搜索结果页
        "
"failed","browser.browser_test.test_NewsPage.TestNewsPage#test003NewsChannelManage","19425","
        1、打开浏览器，上滑进入资讯流列表
        2、点击倒三角符号，进入频道管理页面
        3、在我的频道管理页面，长按“头条”
        4、删除“视频、军事”频道
        5、点击“完成”按钮
        6、再添加“视频、军事”频道
        7、点击“视频”频道，进入资讯流列表
        8、断言视频频道列表中的负反馈按钮存在
        "
"passed","browser.browser_test.test_NegativeScreenPage.TestNegativePage#test003HistoryAddBookmark","64578","
        1、进入负一屏，删除“百度一下”书签
        2、访问""m.baidu.com""
        3、进入添加到主页-》历史，断言是否存在""百度一下""元素
        4、添加“百度一下”书签，点击进入“百度一下”网站，断言页面是否存在'百度一下，你就知道'元素
        5、返回上一层到负一屏，上滑页面1次，断言负一屏是否存在“百度一下”书签
        "
"failed","browser.browser_test.test_PersonalCenterPage.TestPersonalCenterPage#test005RefreshNewsOpenArticle","45134","
        1、清除浏览器数据,进入军事频道
        2、点击第一篇文章进入文章详情页，点击评论输入内容
        3、断言页面是否存在输入内容
        4、在个人中心评论页面删除之前输入的测试评论内容，断言测试评论不存在
        "
"passed","browser.browser_test.test_SetUpPage.TestSetUpPage#test004SetUpPage","41068",""
"passed","browser.browser_test.test_MorePage.TestMorePage#test003MorePage","5936","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""京东""
        3、断言是否跳转到""京东""页面

        "
"passed","browser.browser_test.test_SearchPanelPage.TestSearchPanelPage#test004SearchPanelPage","25427","
        1、点击首页搜索框
        2、点击输入框工具条前缀词“www.”
        3、长按并选中地址栏中的“www.”
        4、点击搜索框联想词，并打开网址
        5、点击地址栏，清空地址，显示搜索历史
        6.清空搜索历史
        "
"passed","browser.browser_test.test_MorePage.TestMorePage#test004MorePage","5940","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""聚划算""
        3、断言是否跳转到""聚划算""页面

        "
"passed","browser.browser_test.test_CollectionAndHistory.TestNegativePage#test009DeleteHistoryMore","38226","
        1、进入首页，再进入历史
        2、长按3条记录，删除，断言被删除的3条记录不存在
        "
"passed","browser.browser_test.test_MorePage.TestMorePage#test002MorePage","6286","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""搜狐""
        3、断言是否跳转到""搜狐""页面

        "
"failed","browser.browser_test.test_PersonalCenterPage.TestPersonalCenterPage#test003PersonalCenterPage","11569","
        1、点击工具菜单
        2、点击工具面板--我的图标
        3、判断账号是否登陆
        4、点击我的评论
        5、默认点击第一条消息
        "
"passed","browser.browser_test.test_QuitPage.TestQuitPage#test001QuitOpenBrowser","18518","
        1、进入浏览器，点击导航网站-》安居客
        2、点击多窗口
        3、添加多窗口
        4、点击浏览的窗口tab网页
        5、点击底部工具栏的 menu_more 按钮
        6、点击退出按钮
        7、打开浏览器，点击导航网站-》更多
        8、断言页面中的搜索框默认词
        "
"passed","browser.browser_test.test_MorePage.TestMorePage#test009MorePage","5710","
        1、在浏览器首页点击导航栏中""安居客""按钮，进入到浏览器网址导航页面
        2、点击""安居客""
        3、断言是否跳转到""安居客""页面

        "
"passed","browser.browser_test.test_MorePage.TestMorePage#test010MorePage","4327","
        1、在浏览器首页点击导航栏中""爱淘宝""按钮，进入到浏览器网址导航页面
        2、点击""爱淘宝""
        3、断言是否跳转到""爱淘宝""页面

        "
"passed","browser.browser_test.test_CollectionAndHistory.TestNegativePage#test12NewWindowOpenOne","19695","
        1、进入收藏夹，长按1条记录，新窗口打开，断言正常打开且新窗口数量增加
        "
"failed","browser.browser_test.test_HomePage.TestHomePage#test008HomePage","8799","
        1、点击""同城""
        2、断言是否跳转到""同城""页面
        "
"broken","browser.browser_test.test_NegativeScreenPage.TestNegativePage#test011NegativeMergeFile","118605","
        1、当负一屏不存在“魅族社区”书签，则进入精选页添加“魅族社区”
        2、进入负一屏，长按“魅族社区”书签，选择删除，断言负一屏不存在“魅族社区”书签
        "
"passed","browser.browser_test.test_MorePage.TestMorePage#test001MorePage","6617","
        1、在浏览器首页点击导航栏中""更多""按钮，进入到浏览器网址导航页面
        2、点击""头条""
        3、断言是否跳转到""头条""页面

        "
"passed","browser.browser_test.test_MorePage.TestMorePage#test007MorePage","5454","
        1、在浏览器首页点击导航栏中""在线商城""按钮，进入到浏览器网址导航页面
        2、点击""在线商城""
        3、断言是否跳转到""在线商城""页面

        "
"broken","browser.browser_test.test_PersonalCenterPage.TestPersonalCenterPage#test001PersonalCenterPage","0","
        1、点击工具菜单
        2、点击工具面板--我的图标
        3、未登录时，点击我的图标
        4、断言页面是否为登录账号页面
        "
"passed","browser.browser_test.test_CollectionAndHistory.TestNegativePage#test007DeleteCollectionMore","37669","
        1、进入收藏夹，长按3条记录，删除，断言被删除的记录不存在
        "
"passed","browser.browser_test.test_NegativeScreenPage.TestNegativePage#test004DIYAddBookmark","42774","
        1、进入负一屏，删除“百度搜索”书签
        2、进入负一屏-》自定义，网址输入框输入'baidu'关键字,点击联想词“百度搜索”，再点击“添加”
        3、停留2秒，toast消失后，上滑页面1次，断言负一屏是否存在“百度搜索”书签
        "
"passed","browser.browser_test.test_NegativeScreenPage.TestNegativePage#test002ClassifyAddBookmark","52310","
        1、进入负一屏，删除“凤凰网”书签
        2、进入添加到主页-》分类-》资讯头条，添加“凤凰网”书签，点击进入“凤凰网”网站，断言页面是否存在'手机鳳凰網'元素
        3、返回上一层到负一屏，上滑页面1次，断言负一屏是否存在“凤凰网”书签
        "
"passed","browser.browser_test.test_NewsPage.TestNewsPage#test002NewsBeautyGrilChannel","18598","
        1、打开浏览器，在首页向上滑动进入资讯流列表
        2、点击资讯流列表的三角符号，进入频道管理页面
        3、点击“美女”，进入“美女”频道列表
        4、断言“美女图集”存在，则打开美女频道正常
        5、再点击打开“女神”标签，进入标签列表页中
        6、断言“女神”标签中“图集详情的内容ID”存在
        7、点击mback返回美女列表页
        8、滑动页面，选择美女图片打开进入美女图片详情
        9、断言图片详情页顶部返回按钮存在
        "
